Timestamp,16:04:17 2019/05/27 SS-110_1137,Timestamp,16:04:17 2019/05/27 SS-110_1138
Units,Relative,Units,Relative
340,165.028324585,340,8.23431458594
341,165.852001617,341,7.33699079898
342,164.964742768,342,6.38569691179
343,167.449942855,343,6.37644007733
344,168.386977038,344,6.68194914586
345,167.8015608,345,5.23368271359
346,166.116421532,346,6.88795258754
347,166.862536742,347,6.81237988155
348,167.177878708,348,6.92609809467
349,167.785514572,349,6.22565837544
350,169.314524343,350,6.42646283032
351,168.921381007,351,6.07815523856
352,170.113922296,352,5.46969190833
353,169.895255941,353,6.08336385884
354,170.931472849,354,5.61965394955
355,171.398159781,355,6.04871133091
356,171.411658488,356,5.44286657975
357,170.305920384,357,6.2523485096
358,172.905120304,358,5.12824760064
359,173.028269313,359,5.47975950901
360,173.290683133,360,5.84763378621
361,174.032355926,361,5.15049127627
362,173.497587185,362,4.827771414
363,174.355583348,363,5.22556011045
364,173.873575382,364,5.42971890357
365,174.673927892,365,5.34786527389
366,175.301326027,366,4.84467947205
367,175.501297826,367,4.92516346229
368,175.810781944,368,5.12762929034
369,176.166674999,369,5.15393108629
370,177.347122684,370,5.28335186378
371,177.340264369,371,4.53898713628
372,177.875570182,372,5.44367014233
373,178.236909603,373,5.43831608066
374,178.444990286,374,5.13890162054
375,180.034001087,375,5.97568531165
376,180.182837009,376,4.75689894967
377,179.989243783,377,4.7608958436
378,180.374561161,378,5.01850553412
379,180.428671489,379,5.31764478086
380,181.225720335,380,5.40336221911
381,181.816483461,381,5.27280406582
382,181.027143995,382,5.16302792443
383,181.254084555,383,5.4585339466
384,182.42850374,384,4.9123367167
385,182.765668547,385,5.8368129862
386,184.151466161,386,5.16967250286
387,183.026167643,387,5.47916667278
388,183.397288725,388,5.31375860451
389,184.395889163,389,5.49048403406
390,184.229432012,390,5.18761277486
391,184.678008026,391,5.31613616518
392,185.546988737,392,5.34337606737
393,185.33385621,393,5.21622848275
394,185.261437645,394,5.74140607459
395,185.594693869,395,5.28726459729
396,185.933935004,396,5.54256450583
397,187.063418385,397,5.46976040448
398,187.38727066,398,5.66898169706
399,187.494080721,399,5.56803141628
400,187.829727442,400,5.48858409755
401,187.847174631,401,5.38657517769
402,188.523563301,402,5.40903022678
403,189.067109937,403,5.62767870472
404,189.065042191,404,5.60034637674
405,189.257162213,405,5.50981955984
406,189.857828205,406,5.59030222822
407,189.943484267,407,5.75148000659
408,190.115819191,408,5.79684577317
409,190.802737019,409,5.75157950107
410,191.097645817,410,5.99935214856
411,191.132239152,411,5.92796823188
412,191.265748897,412,6.03259209601
413,191.808650565,413,5.89528220653
414,192.328951622,414,6.08918282128
415,192.440266953,415,6.11816341429
416,192.746238136,416,6.29572595691
417,192.855520766,417,6.26160447372
418,192.83005688,418,6.23903840519
419,193.310431138,419,6.37045500283
420,193.631845666,420,6.44722291484
421,193.714857086,421,6.30485933974
422,194.33797559,422,6.6357691425
423,194.392474896,423,6.71324241471
424,194.357615922,424,6.69459864158
425,194.617253958,425,6.85399685567
426,195.383554692,426,6.81406767669
427,195.480728817,427,6.88576083515
428,195.748787343,428,7.01112635801
429,195.774624233,429,7.067826081
430,196.223124062,430,7.16458373054
431,195.854854795,431,7.07368175951
432,196.33168651,432,7.11233395447
433,197.009808515,433,7.22571292385
434,197.009496854,434,7.22343182629
435,197.208505152,435,7.28830355597
436,197.347468245,436,7.30185112896
437,197.519816693,437,7.39577591188
438,197.552106141,438,7.41698075763
439,198.120939076,439,7.49561799634
440,198.189256826,440,7.53249567386
441,198.239317374,441,7.5645358238
442,198.460251624,442,7.52817325937
443,198.491711963,443,7.54659756855
444,198.486616234,444,7.5413752038
445,199.082774838,445,7.62920812086
446,199.131177157,446,7.73228211728
447,199.291851618,447,7.70364126565
448,199.393542913,448,7.81922742083
449,199.504285169,449,7.83666274983
450,199.690172781,450,7.83953510934
451,199.895657124,451,7.90747664546
452,200.219896485,452,7.93944149696
453,200.444526053,453,7.94908138217
454,200.593932934,454,7.9989188409
455,200.255109448,455,7.9338270161
456,200.553623365,456,8.10349576224
457,200.615877992,457,8.05027665721
